,text,username,emoji,t_luggages,t_flight_delays,t_flight_bookings,t_club,t_customer_service,t_in-flight,t_seatings,t_others,f_enquiry,f_compliment,f_complaint,f_info,s_positive,s_negative,s_neutral
2336,"In 1991, United Airlines was forced to back off of it's plans to fly #Hawaii interisland. Today, a @SouthwestAir plane landed at an airport named after the man that was instrumental in that blocking. SWA intends to fly interisland. Civil Aviation in Hawaii has changed. pic.twitter.com/oKWbnPXZVj",PoliticsHI,,,,,,,,,1,,,,1,,,1
2337,"It’s just about 26 hours from travel time, and we have a domestic connection first. @TravelGov just pulled US non-essential personnel and children. We need to know now. #HaitiProtest",StevenUhde,,,1,,,,,,,1,,,,,1,
2338,They know how to get you with it all!,AliciaW_RFC,,,,,,,,,1,,,,1,,,1
2339,No @British_Airways !! Thats a 0/10. Not sure what was worse... a 10 hour flight with a lap infant and the audio jack for the screen broken or the usb port not working so i can charge my phone to keep myself busy with mobile games. Never again!! It was a #kakflight home.,martin_grobler,,,,,,,1,,,,,1,,,1,
2340,@delta - Good morning from @Reagan_Airport on our way to PVR!pic.twitter.com/ioPjANsodv,domsachez74,,,,,,,,,1,,,,1,1,,
2341,Well between them @British_Airways and @Iberia_en contrived to make the worst code share online check in experience ever. Time for some #DesignThinking,tonyhorrocks,,1,,,,,,,,,,1,,,1,
2342,Anyone having issues opening links from an email @British_Airways sent today about my flights? It seems to crash the browser on my iPhone !!,agibsonetc,,,,1,,,,,,,,1,,,1,
2343,@americanair so disappointed in you! Our flight out of STB got timed out yesterday and today you don’t even hold our connecting flight!!!! Really??? What has happened to your customer service? is it time to switch back to @united?,laxhound,🤬 🤬 🤬,,1,,,,,,,,,1,,,1,
2344,@AirAsiaSupport pls fix your mobile apps,faizRzxr,,,,1,,,,,,,,1,,,1,
2345,"Thank you for spending money with @twitter to target me with this advert. As a direct result, I am muting you to protest the ongoing censorship of women by @twitter .",Joes_head_chef,,,,,,,,,1,,,,1,,1,
2346,What you feel like with your flight is cancelled but @SouthwestAir comes through and gets you home faster than anyone else. pic.twitter.com/Ku1MiHFy4S,ben_stroup,,,1,,,,,,,,1,,,1,,
2347,"Our wait times have been minimal so far, but we always recommend arriving 90 minutes prior to flight departure to avoid an unforeseen delays.",BUFAirport,,,1,,,,,,,,,,1,,,1
2348,"@AirAsiaSupport My flight for 20th Feb has been cancelled , kindly reschedule the same for the next day. It's awful to inform a week before when the ticket prices are surging. My reference number is 10400804.",tmohanty8,,,,1,,,,,,1,,,,,1,
2349,I’m curious about that too.,drbet33,,,,,,,,,1,,,,1,,,1
2350,good luck with @americanair I don't think they really care... (they prove it in the past they don't care about passenger safety or customer care),Iskender_gh,,,,,,1,,,,,,1,,,1,
2351,"@americanair is scum, never fly with them unless you want to be treated like shit!",BeccaStarkman,,,,,,1,,,,,,1,,,1,
2352,why i can’t fill coloumn arriving,indalyin,,,,,,,,,1,1,,,,,,1
2353,Difficult to help Mark when he does not provide any details. There is a right to compo with lost luggage so am amazed he got nothing. But it’s easy to complain for the sake of complaining...,LoungeDragon,,1,,,,,,,,1,,,,,,1
2354,Sounds like @AmericanAir owes you some miles/credit!,MrReegz,,,,,1,,,,,,,1,,,1,
2355,Will I Continue To Fly American Airlines In 2019? https://onemileatatime.com/fly-american-airlines-2019/ … via @OneMileataTime he makes some great points about @AmericanAir. Last year 123K on AA mostly from MIA and ORD to South America. More horror stories than I care to recount. @kilgorene,EarnThoseMiles,,,,,1,,,,,,,,1,1,,
2356,"Possibly doing some drifting, apron donuts.. taking selfies...having fun at work. Lets just leave the guy alone.",ArtoftheSkies,,,,,,,,,1,,,,1,1,,
2357,"@SouthwestAir - you seriously just boarded an flight of people, locked the doors and then had the flight attendant say “HQ just told us we are cancelled.” Really???",danicaross,,,1,,,,,,,,,1,,,1,
2358,Ry I’ve heard you love pizza,nataliejhowarth,,,,,,,,,1,,,,1,1,,
2359,"With slot constraints at LHR it would make sense to order more A380’s, it’s wether there is demand to allow high load factors. Hoping there is, and an order is made!",TheAviationPig,,,,,,,,,1,,,,1,1,,
2360,This just happened to me on a Delta plane not even an hour ago,nikkigboo96,,,,,,,,,1,,,,1,,,1
2361,"Our thoughts and prayers are with the family of airline pioneer & @SouthwestAir founder Herb Kelleher, who passed away today. #HonoringHerbpic.twitter.com/ZrZjLYZF7P",OrlandoMagic,,,,,,,,,1,,,,1,,1,
2362,@british_airways looking for the door in the low cloud base. Love this shot with the ground light on the underside of the airframe and the heavens above #aviationdaily #aviationlovers #avgeek #aviation_lovers #instaaviation #britishairways #ba100 #aviation @heathrow_airport pic.twitter.com/c1eu3f3ptO,jetjunkieslive,,,,,,,1,,,,1,,,1,,
2363,"Ok, I must take a moment to celebrate this...LOOK! Awwwww, yeah, first one on the plane! @SouthwestAir pic.twitter.com/mw2555CR03",Nnedi,🕺🏾,,,,,,,,1,,,,1,1,,
2364,@AmericanAir since this supervisor hung up on me I’m now calling back and in the back of the queue.,ManSplainThs,,,,,,1,,,,,,1,,,1,
2365,"Ok, set for a flight 24 hours after original (all delays due to mechanical issues). Why don’t we have seat assignments? Are you seriously sticking us in middle seats after that ordeal? Come on!",oysterjake,,,,,,,,1,,,,1,,,1,
2366,"Hello, they have closed my case and denied my claim. They have also hung up on me twice when I called for a resolution. Please advise.",CSBarre,,,,,,1,,,,1,,,,,1,
2367,"@AirAsiaSupport Hi! Need your advice. If my baggage allowance is 25 kilos, how many bags can i check in? Can it be 2 12 kilos? And if 30, can it be 2 15 kilos? Hope you can let me know. Thanks!",highteaatkepler,,1,,,,,,,,1,,,,,,1
2368,We’ll miss you tonight. Bringing my baby girl in for her birthday dinner. She requested @fahrenheitCLT!,ColinCole91,,,,,,,,,1,,,,1,1,,
2369,@SouthwestAir why can we not get an “on time” fight ever?? It’s always something!,TheDavidAlanCox,,,,1,,,,,,1,,,,,,1
2370,@SouthwestAir? More like Southworst. Flight delayed - flight cancelled - flight rebooked - flight cancelled - no flights offered. Horrible #customerservice. Ended up needing to rent a car to drive 6 hrs home. #kbye #SouthwestAirlines,MagicLauren_,,,1,,,,,,,,,1,,,1,
2371,We’re sorry for any difficulties that you’ve experienced. You can submit a complaint with more details at:http://bit.ly/1OfLGg6,AskTSA,,,,,,,,,1,,,,1,,1,
2372,We still have not left the gate. 5.5 hours delayed and counting... @AmericanAir,maureentmcc,,,1,,,,,,,,,1,,,1,
2373,I've never had an issue getting boarding passes in the past. Your staff were at the desk but weren't interested in helping.,stevemac40,,,,,,1,,,,,,1,,,1,
2374,"For the record, the @Delta app says it was loaded on my flight from MSP to FAR.",wolff093,,,,,,,,,1,,,,1,,,1
2375,". @British_Airways is boarding flights of almost 240 customers in just 10 minutes, using new #biometric boarding and exit checks at @MCO Airport. Watch this video to find out more. http:// bit.ly/2E9DsHp pic.twitter.com/qud5wcWUn3",MarcoPici,,1,,,,,,,,,,,1,,,1
2376,Delta doesn't fly any 737 Max planes.https://www.barrons.com/articles/airlines-boeing-737-max-8-51552417862 …,BenD963,,,,,,,,,1,,,,1,,,1
2377,I sure hope I can fly to KC tomorrow from Nashville. I have @Chiefs playoff tickets and would hate to have my flight cancelled.,blanehoward,,,,,,,,,1,,,,1,,,1
2378,Lisa + @British_Airways I’m still waiting for your response. Please can you get back to me?,jonathanfwells,,,,,,,,,1,1,,,,,,1
2379,"""Oh shit"" pic.twitter.com/thb7eQpXET",bigcatspencer,,,,,,,,,1,,,,1,,1,
2380,"@united, you need to bring live tv to your planes like @SouthwestAir. Missing the @HoustonRockets game here.",Zeeshan_Virani,,,,,,,1,,,1,,,,,,1
2381,Hope you’ll hold delta 3856 for me since I’m still on my first flight.,MarkJetzer,,,1,,,,,,,1,,,,,,1
2382,"You don’t believe him, knowing nothing, but the captain assaulting him is fine. Got it.",Deb_McD,,,,,,,,,1,,,,1,,1,
2383,Ground the planes @SouthwestAir,sbnanci,,,,,,,,,1,,,,1,,,1
2384,@Delta really screwed me out of an entire day,Jared_Gentry,,,,,,,,,1,,,1,,,1,
2385,"@thepointsguy international travel question: if you had to fly basic economy & the price difference was minimal, would you fly @Delta or @AmericanAir?!",whatthekheck,,,,,,,,,1,1,,,,,,1
2386,"Hello, there is your unroll: Thread by @LeonHWolf: ""Wanna give a shout out to @AmericanAir for not requiring the guy who sat next to me on my last flight to purchase two ti […]"" https://threadreaderapp.com/thread/1104206585004470272.html … Enjoy :)",threadreaderapp,🤖,,,,,,,1,,,,1,,,1,
2387,"Why when changing the time, I am offered to book a seat for an additional fee! How can I refuse if I don't want to overpay?!",ij5rYyu9Vr1fGYE,,,,1,,,,,,1,,,,,,1
2388,"Man I was really hoping that the #GovernmentShutdown would end before I have to get on 4 @SouthwestAir planes this week, but I guess I'm just going to be flying on planes that no one's inspected in a month. Great. This makes me feel super safe.",alexis_writes1,,,,,,,1,,,,,1,,,1,
2389,"@southwestair we desperately need your help. We sat on hold for two hours for our call to be disconnected. We are on hold again, for 100 minutes... We need to rebook our cancelled flight and fear it will no longer be available by the time we get you. We cant afford $600 more!",dannacperry,,,,1,,,,,,1,,,,,1,
2390,"Shame on you @SouthwestAir We fly you more than 50 flights a year and have come to trust you, but not being extra cautious here causes to lose faith in you",pbaker,,,,,,,1,,,,,1,,,1,
2391,@AmericanAir HI ?! Can you provide any insight into why this is happening ????? pic.twitter.com/Moy2TNMcfX,thingofgold,,,,,,,,,1,1,,,,,,1
2392,"When @SouthwestAir gate attendant demands that new boarding passes be printed post multiple gate changes, the already delayed crowd riots & he is overturned. pic.twitter.com/hrL1axsJSJ",AlexandraDFro,,1,,,,,,,,,,,1,,1,
2393,"@AmericanAir you guys destroyed my travel plans because you overbooked your plane and I got booted - boarding pass in hand. Long time loyal customer with status, and customer service was horrible and unhelpful. Couldn’t even get a “sorry” from anyone. What gives?",chadporche,,,,,,,,1,,,,1,,,1,
2394,"@Delta I don’t understand,why fill an entire plane when you know you’re going to have to de-ice and turn the plane http://off.Do you guys like sitting in unbearably hot spaces for hours at a time. Be better to your customers. All about making that money, right?garbage",dimedroppper4,,,,,,,1,,,,,1,,,1,
2395,"@British_Airways Hello, I locked my reservation due to I introduce wrongly the reservation details several times. could you help me please ? I flight in less than 12 hours.",enjutorpe,,,,1,,,,,,1,,,,,,1
2396,"Let me guess, @SouthwestAir is going to raise the cost of flights to mitigate risk",LdTrader3,,,,1,,,,,,,,,1,,1,
2397,@British_Airways ahh we are in France beefing to change our flights and I have been on hold/trying to get through for over 90 minutes now. Not great when trying to manage a poorly child too,domsimpson,,,,1,,,,,,1,,,,,1,
2398,One-day turnaround flight for a meeting near DFW this week. I HAVE to fly on an airline that's not @SouthwestAir and I'm pretty bummed about it.,danlovejoy,,,,,,,,,1,,,,1,,1,
2399,Worst internet service ever @AmericanAir . Nothing like paying $19 and constantly getting knocked off and unable to connect.,beccitweet,,,,,,,1,,,,,1,,,1,
2400,What do I say that’s not in common with what I do Milltimber Man?,Kennyaberdeen,,,,,,,,,1,,,,1,,,1
