,text,username,emoji,t_luggages,t_flight_delays,t_flight_bookings,t_club,t_customer_service,t_in-flight,t_seatings,f_enquiry,f_compliment,f_complaint,f_info,s_positive,s_negative,s_neutral,others,comments
1930,@Delta A220 Flies From DFW to New York: http://ow.ly/4l3q50lUGIB #delta #dfwairport #ramblernewspapers Written by Sheena Pelsypic.twitter.com/FmOBQNPXsw,DFW_Rambler,,,,,,,,,,,,,,,,1,
1931,"Johanna Allegonda Maria Faas is the correct name ,born 21-9-1948",FaasJohanna,,,,,,,,,,,,,,,,1,
1932,I hateeeeee flying American. Try avoiding it at all costs,MichaelVelush,,,,,,,,,,,,,,,,1,no context
1933,@SouthwestAir is flight 180 tomorrow morning from ATL to Midway cancelled,ATLFunkMaster,,,,1,,,,,1,,,,,,1,,
1934,Hard not to think my flight could have made it out before the storm too,KyraLNay,,,,,,,,,,,,,,,,1,
1935,Thank you to the yellow vest guy who just fixed @AmericanAir’s only “working” baggage claim conveyor.,DocJuniorST,,,,,,,,,,,,,,,,1,
1936,"Christy I only fly Southwest, they are wonderful. I hate flying. But they are funny with their instructions. Makes you relax. I them for all they do.",BarbaraMelvin3,👏 👏 👏,,,,,,,,,,,,,,,1,
1937,@British_Airways I messaged you through your online questionnaire last Monday. Had automated response but no human response. Can you tell me when I should expect to hear with a response please. The delay is adding to my frustration. Thanks,vic_in_boro,,,,,,,,,,,,,,,,1,
1938,"Then nine people boarded as ""pre board"" - 7 were younger and healthier than me. WiFi broken on last flight. Used to be best in sky. Southwest best days behind them. #SouthwestAirlines",mskimreynolds,,,,,,,,,,,,,,,,1,boarding
1939,"Sleep on the floor.... but if you fall asleep, do not miss the flight",Clodiavel,🙃,,,,,,,,,,,,,,,1,
1940,no worries. I am able to access what I need using phone tether. thanks for the help though,TheSQLGuru,,,,,,,,,,,,,,,,1,
1941,And first time I’ll be doing a @delta flight with new boarding procedure in place. Notice how “First” has replaced “Prem”. pic.twitter.com/quBWNKcfeT,twoifbyair,,,,,,,,,,,,,,,,1,boarding
1942,"Already DM my booking number, but the info need to be public because 2 hours delay has happened too frequently for KK flight. We need to know the procedure so that we can prepare for the next 'expected' delay trip",kula8,,,,,,,,,,,,,,,,1,
1943,"stay safe ""chin chin """,StephenPark6,,,,,,,,,,,,,,,,1,
1944,@Delta i dont want to text DM. Eant everybody to know. Oh i forgot. They give me a toothbrush,matheusbon,,,,,,,,,,,,,,,,1,
1945,“Please turn your phones off” ahmmmmmm .,Zipper32234725,🤭 🤫,,,,,,,,,,,,,,,1,
1946,"Thank you can you private message me. I would like to take this post down. I don’t hate @AmericanAir, I’m just super frustrated. I’d feather take this down before more eyes see it. If you’re willing to work with me. That’s all I’m asking.",FamousFinch,,,,,,,,,,,,,,,,1,no context
1947,"I think this is Trumps fault more than Delta. Besides, you could've flown Spirit and had them steal your laptop.",RawMoparFan,,,,,,,,,,,,,,,,1,
1948,"One of the best liveries ever on my favorite airplane. 1996 @acim_mx, credit to Augusto Gomez Rojas on @airliners_net . cc: @AmericanAir pic.twitter.com/eJRXgpQ292",rossbossk,,,,,,,,,,,,,,,,1,
1949,I really suck at this @AmericanAir - please be sure Scott gets his 'attah boy' https://twitter.com/trailwhitespace/status/1090062743179354113 …,trailwhitespace,,,,,,,,,,,,,,,,1,
1950,Start tracking garage to Take Off. Lowering that time will make it really exciting.,SellingColumbus,,,,,,,,,,,,,,,,1,
1951,"Hey Julie, happy to, when are you available?",DerekRodenbeck,,,,,,,,,,,,,,,,1,to others
1952,I hope your day gets better!,rjwoodring,,,,,,,,,,,,,,,,1,to others
1953,"Quick tweet before take-off from #LAX airport for #HKG. So glad to have been upgraded to Biz class using 1 of my system-wide upgrade vouchers. Thanks, @AmericanAir! That's a lot of @Casper bedding for my 15-hour flight but I'm sure I'll manage. pic.twitter.com/I8Hlndy4zG",live4sights,😋 💤 🛌,,,,,,,,,,,,,,,1,
1954,"Full of attitude, that is a perfect description of some of the older flight attendants, in spite of flying business",LuzLuzgromero,,,,,,1,,,,,1,,,1,,,
1955,And the saga continues...even though @AmericanAir themselves had us staying overnight in Chicago we just found out our bags are on the way to Tampa WTF! We cancelled our @AmericanAir flights earlier and they still sent our bags. Cosmic fail @AmericanAir. #firstclass,ctosunz,,1,,,,,,,,,1,,,1,,,
1956,UNBELIEVABLE! First time flying with @AmericanAir - first flight was delayed an hour. Connecting flight was delayed. Even though I had to run from Gate E25 to C7 at @CLTAirport and the lady said I couldn’t get on even when she acknowledged I WAS ON A DELAYED FLIGHT!! This is bs.,will_wredia,,,1,,,,,,,,1,,,1,,,
1957,I believe the employees of the regional carriers are not represented by unions. If Ms. Chastain was referring to the regional carriers I was not aware.,jxjacobsen,,,,,,,,,,,,,,,,1,
1958,@Delta Received email re new version .17 on app allows you to select upgrade seat from seat map and system will offer mileage needed to select that seat. Attempted to do that on future reservations in comfort to first but only $option comes up. No mileage choice. Ideas??,MarkJHigley,,,,,,,,1,1,,,,,,1,,
1959,Ugh. Just boarded @AmericanAir 2203 to MSP and then they say another hour+ delay...just sit tight on the plane. :-(,SeanStJames,,,1,,,,,,,,,1,,1,,,
1960,So true! This happened to us coming back from Germany. And it was like £2.45 for a tea!? A TEA!!!! @British_Airways has gone downhill,rosling_,,,,,,,1,,,,1,,,1,,,
1961,@Delta operation at MSP is super slow this morning. Alllow extra time,jeffrey1224,,,,,,,,,,,,,,,,1,
1962,@AmericanAir This is my friend & her beautiful baby who happen to have the same genetic dry skin disease as me. This is what your flight crew did to them today on #RareDiseaseDay as they flew home from seeing their active duty husband/father. I am appalled.pic.twitter.com/1ypaZKRL4A,katie_love,,,,,,,,,,,,,,,,1,picture
1963,"I’ve gone from taking the skies to riding the rails! And during my time in #sacramento today, I transitioned from @southwestair to @amtrak in the best way possible.....by going to the… https://www.instagram.com/p/BuaETP1A0_B/?utm_source=ig_twitter_share&igshid=1anwzsb4rhzj4 …",CodyClarkMagic,,,,,,,,,,,,,,,,,
1964,It’s on the way back now. Flight WN8725 from Honolulu to Dallashttps://fr24.com/SWA8725/1f6ae787 …,00joo,,,,,,,,,,,,,,,,1,
1965,. @AmericanAir Royally screwed me today. Spoke to their agents earlier this week who assured me that I could handle my issues today with AAdvantage. Now they’re closed. Nice to see your employees can do their job,mikeavenaim,👎,,,,,,,,,,,,,,,1,no context
1966,@British_Airways hey I've been trying to get through to your customer service line for 2 days. I am put on hold for 20 mins or so and then the call hangs up. Any ideas what's going on?,oliviasolon,,,,,,1,,,1,,,,,,1,,
1967,"Aka “sorry, your iPad mini is gone forever”",adamgelvan,,,,,,,,,,,,,,,,1,
1968,"The talented Gemma Chan @gemma_chan ( @HumansAMC, @CrazyRichMovie & @captainmarvel) appears in the photo of your tweet",DelightfulDame,,,,,,,,,,,,,,,,1,
1969,A4 ANA this summer because they’re flying their brand new A380! #TwoStoriesToHawaii #TravelSkills,AwrdTravel101,,,,,,,,,,,,,,,,1,
1970,Why don’t you have any customer service by phone?,Trisheck3,,,,,,1,,,1,,,,,,1,,
1971,STARTUPS GIVEN CLEARANCE FOR TAKE OFF WITH NEW FOUNDERS FORUM COMPETITION @British_Airways @ittnews @ITTFutureYou @i2iventures #startups #uk http:// mediacentre.britishairways.com/pressrelease/d etails/86/2019-319/10517 …,MatCerri,,,,,,,,,,,,,,,,1,
1972,"@SouthwestAir I only see 3 Southwest flights landing in Honolulu from anywhere on May 3, maybe carrying a total of 525 people? I missed getting a ticket before sold out. Should I wait for you to add flights on that day? This seems like a very small beginning.",johnson_lumber,,,,1,,,,,1,,,,,,1,,
1973,Lost bag on @British_Airways flight yesterday morning and the company delivering the bag are so rude! ...not cool,kiratomic,,,,,,1,,,,,1,,,1,,,
1974,Hey @Delta your customer service agent just lied about fairs and over double charged me on what she said she said she was charging my card for my flight and I want a refund! This should be illegal,kjones079311,🤬,,,,,,,,,,,,,,,1,multiple labels
1975,It’s even better after watching original Queen footage on YouTube. I think I’ve watched the actual Live Aid concert 15 times since I first watched the movie. Freddie Mercury knows how to perform (lots to be learned from him).,DesiDruschel,,,,,,,,,,,,,,,,1,
1976,@SouthwestAir up to when can I change my ticket?,AbbyAnnMari,,,,1,,,,,1,,,,,,1,,
1977,There must be some form of different arrangement in place for transfer companies.,GreenBadgeKOL,,,,,,,,,,,,,,,,1,
1978,OMG. They let me and @SockMonkeyToNY fly the plane today. Hehe. Not really but the pilots on @AmericanAir were super nice and great flight crew for this photo. Thank you all. #AmericanViews #AbOUTtheGlobe #OMGposepic.twitter.com/ZslvPyxG5I,NakedBoyNews,,,,,,,1,,,1,,,1,,,,
1979,"I have more club soda in my fridge than you had on the flight tonight. @AmericanAir DM me to resolve this huge misstep on your part. Again, what did I pay $1,500 for a short flight from dca to Mia? Your prices have gotten ridiculous too... pic.twitter.com/siCYqIBYXY",flightdebacles,,,,,,,,,,,,,,,,1,multiple labels
1980,Only flying into @fly2ohare today?,jaimecor_94,,,,,,,,,,,,,,,,1,
1981,or you could just wait a little while and not take it for granted that you're flying a big ass plane over great distances in fairly little time,basneyheemaa,,,,,,,,,,,,,,,,1,
1982,@Delta Hi- how long does it take@for a choice benefit gifting gold@to someone take to be processed and their medallion status updated?,bclapham1017,,,,,1,,,,1,,,,,,1,,
1983,update: going to miss my connecting flight i want a free ticket @SouthwestAir,jordyn_napier1,🙃,,1,,,,,,,,,1,,,1,,
1984,Hey @SouthwestAir - your WiFi is a little laggy for @FortniteGame,MSJ1013,,,,,,,1,,,,,1,,,1,,
1985,Listen.... I said the EXACT same thing until I cleared by plate...pic.twitter.com/cnFG4XSTkl,iamaniesia,,,,,,,,,,,,,,,,1,
1986,"Here’s a question: when all these bag fees became the norm, it was bc gas prices spiked and was supposed to be temporary, like that spike. Why have you not rescinded?",bkidd942,,,,,,,,,,,,,,,,1,
1987,Worst airline ever. Abusive employees. Dangerous Fleet. Worst Pilots!!! #Bringaparachute,D_Stanislawczyk,,,,,,1,,,,,1,,,1,,,
1988,@British_Airways announces return of BA Magic #campaign as part of its #centenary year #celebration https:// travelprnews.com/british-airway s-announces-return-of-ba-magic-campaign-as-part-of-its-centenary-year-celebration-6499550/travel-press-release/2019/01/28/ … #travel #BAMagic100 pic.twitter.com/QqeVhvG7u3,travelprnewscom,,,,,,,,,,,,,,,,1,
1989,Damn. Will avoid @AirAsia from now on. What's the point in availing cheap fares if at the end of the day one has to spend more and go through all the hassle. Thanks for the heads up.,AbhriyaR,,,,,,,,,,,,,,,,1,
1990,Awful news about the collapse of @flybmi with the loss of jobs and difficulties for passengers. Any @flybmi pilots may wish to attend one of the @British_Airways Pilot Recruitment Roadshows being held at Manchester on 21st Feb and Gatwick on 26th Feb. https:// bapilotrecruitment.eventbrite.co.uk pic.twitter.com/lVdPsq7sHP,DaveWallsworth,,,,,,,,,,,,,,,,1,
1991,A day drinkers wet dream. Have one for me please Douglas,terrytruthy,,,,,,,,,,,,,,,,1,
1992,But not stupid,Richmon51940020,,,,,,,,,,,,,,,,1,
1993,Thank you All. My Favorite Southwest Airlines,AnnSweetlove1,❤️,,,,,,,,,,,,,,,1,
1994,The outstanding service continues... #jokeairline,sibackwell10,,,,,,1,,,,,1,,,1,,,
1995,"@AmericanAir not going to lie, leaving Philadelphia tonight 45 minutes late but getting us to Ft Lauderdale 10 minutes early of our scheduled arrival is very impressive. Well done to the staff and crew of AA 1864",nnpatel1,,,,,,,1,,,1,,,1,,,,
1996,I hope this is not the luggage department . The staff is horrible . Put me through hell! #AAscams,Char10Plus,,,,,,1,,,,1,,,,1,,,
1997,⁦ @AmericanAir⁩ Embraer 145 operated by ⁦ @piedmontair⁩ is heading out for a flight to Boston as flight number 4893 today.pic.twitter.com/MyThIUmYzQ,TylerCoolGuy88,,,,,,,,,,,,,,,,1,
1998,Uhm you are not always able to hold flights but this might have been a good time to do it —- 5 passengers and less than 5 min delay. If you meant ASAP you would get me on the @deltaairlines flight or at least confirm my seat on the next flight. #notgoodenough,Margerama100,,,,,,,,,,,,,,,,1,no label
1999,Could you chat between yourselves who gets in first?,mikehughes1965,,,,,,,,,,,,,,,,1,
2000,*news* @British_Airways increases @manairport to Malaga to 2/3 weekly for the summer period. Timetable to follow #flights #manchester #malaga,airportnewsMAN,,,,,,,,,,,,,,,,1,
